study_id	journal	doi	year	variable_measured	role_in_study	multi_item	scale_details	anchors	categories	analysis	dimension
AP 43-3_6	Applied Psycholinguistics	https://doi.org/10.1017/S0142716422000078	2022	Language use	predictor	1	(1) A only, (2) more A than B, (3) both equally often, (4) more B than A, (5) B only	each category	5	means	NA
AP 43-3_8	Applied Psycholinguistics	https://doi.org/10.1017/S0142716422000108	2022	ADHD-related behavior	predictor	1	(0) never; (1) sometimes; (2) often; (3) almost always	each category	4	means	frequency
AP 43-3_8	Applied Psycholinguistics	https://doi.org/10.1017/S0142716422000108	2022	Language competence	predictor	0	(1) Not fluent, (2) Limited fluency, (3) Somewhat fluent, (4) Quite fluent, (5) Very fluent	each category	5	means	intensity
AP 43-3_9	Applied Psycholinguistics	https://doi.org/10.1017/S014271642200011X	2022	English-likeness of word	stimulus validation	0	(1) very unlikely to be an English word, (6) very likely to be an English word	endpoints	6	means	NA
AP 43-4_4	Applied Psycholinguistics	https://doi.org/10.1017/S0142716422000169	2022	Salience, ease of expression	predictor	0	(1) not salient, (5) extremely salient	endpoints	5	means	intensity
AP 43-5_1	Applied Psycholinguistics	https://doi.org/10.1017/S0142716422000248	2022	Language competence	predictor	0	(1) does not understand this language when it is spoken, (5) under-stands this language very well	each category	5	means	intensity
AP 43-5_1	Applied Psycholinguistics	https://doi.org/10.1017/S0142716422000248	2022	Language awareness rating	predictor	0	combination of two ratings: yes/no response and indication of certainty: very sure, a little sure, not sure	each category	6	means	intensity
AP 43-5_2	Applied Psycholinguistics	https://doi.org/10.1017/S014271642200025X	2022	Quality of translation	outcome	0	NA	NA	5	orm, means	NA
AP 43-6_2	Applied Psycholinguistics	https://doi.org/10.1017/S0142716422000352	2022	Attitude toward sexist language	predictor	1	Likert-type	each category	5	means	agreement
AP 43-6_3	Applied Psycholinguistics	https://doi.org/10.1017/S0142716422000376	2022	Appropriateness of answer to question	outcome	0	(1) not appropriate at all, (7) extremely appropriate	endpoints	7	orm, means	NA
AP 43-6_5	Applied Psycholinguistics	https://doi.org/10.1017/S014271642200039X	2022	Word familiarity	stimulus validation	0	(1) the word was unknown, (7) the word is familiar	endpoints	7	means	NA
CLLT 11-1_3	Corpus Linguistics and Linguistic Theory	https://doi.org/10.1515/cllt-2014-0007	2015	Certainty rating	outcome	0	(1) not certain at all, (5) to completely certain	endpoints	5	orm	NA
CLLT 11-2_2	Corpus Linguistics and Linguistic Theory	https://doi.org/10.1515/cllt-2014-0010	2015	Ratings of the polarity strength of adjectives	outcome	0	(1) very negative, (6) neutral, (11) very positive	endpoints and midpoint	11	means	NA
CLLT 14-1_2	Corpus Linguistics and Linguistic Theory	https://doi.org/10.1515/cllt-2013-0054	2018	Attribute rating	outcome	0	Likert-type	NA	7	means	NA
CLLT 14-2_1	Corpus Linguistics and Linguistic Theory	https://doi.org/10.1515/cllt-2016-0032	2018	Acceptability rating	outcome	0	1 to 7	endpoints	7	means	NA
CLLT 15-1_5	Corpus Linguistics and Linguistic Theory	https://doi.org/10.1515/cllt-2016-0056	2019	Formality rating of confederates	outcome	0	(1) very informal, (6) very formal	endpoints	6	means	NA
CLLT 16-3_6	Corpus Linguistics and Linguistic Theory	https://doi.org/10.1515/cllt-2018-0086	2020	Register analysis; rating of the degree to which a situational parameter (e.g. narrative parameter) applies to a text	outcome	0	1 to 6	numbers	6	means	NA
CLLT 18-3_4	Corpus Linguistics and Linguistic Theory	https://doi.org/10.1515/cllt-2020-0023	2022	Semantic similarity rating	outcome	0	(1) no similarity in meaning, (5) very similar in meaning	endpoints	5	means	NA
CLLT 8-2_1	Corpus Linguistics and Linguistic Theory	https://doi.org/10.1515/cllt-2012-0010	2012	Acceptability rating	outcome	0	1 to 7	numbers	7	means	NA
CogL 23-2_1	Cognitive Linguistics	https://doi.org/10.1515/cog-2012-0008	2012	Degree to which different concepts possess certain properties	outcome	0	0 to 10	numbers	11	means	NA
CogL 24-4_2	Cognitive Linguistics	https://doi.org/10.1515/cog-2013-0022	2013	Acceptability	outcome	0	(1) Perfect (completely acceptable), (7) Terrible (completely unacceptable	numbers	7	means	NA
CogL 25-1_2	Cognitive Linguistics	https://doi.org/10.1515/cog-2013-0030	2014	Acceptability rating	outcome	0	(1) sentence 1, (3) equally good, (5) sentence 2	endpoints and midpoint	5	means	NA
CogL 25-1_2	Cognitive Linguistics	https://doi.org/10.1515/cog-2013-0030	2014	Procrastination and conscientuousness self-rating	predictor	1	(1) very true, (3) neutral, (5) very untrue	endpoints and midpoint	5	means	NA
CogL 25-1_4	Cognitive Linguistics	https://doi.org/10.1515/cog-2013-0032	2014	Likeliness ratings	outcome	0	(1) Yes, very likely, (2)  Yes, likely, (3) Neither/nor, (4) No, unlikely, (5) No, very unlikely	each category	5	means	probability
CogL 25-2_2	Cognitive Linguistics	https://doi.org/10.1515/cog-2014-0015	2014	Attribute rating	outcome	0	(1) attribute 1, (7) attribute 2	endpoints	7	means	NA
CogL 26-2_4	Cognitive Linguistics	https://doi.org/10.1515/cog-2014-0021	2015	Male/femal association of nouns	outcome	0	(1) clearly male, (2) rather male, (3) rather female, (4) clearly female	each category	4	means	intensity
CogL 26-3_3	Cognitive Linguistics	https://doi.org/10.1515/cog-2015-0004	2015	Acceptability rating	outcome	0	(1) completely unacceptable, (5) completely acceptable	endpoints	5	means	NA
CogL 26-3_3	Cognitive Linguistics	https://doi.org/10.1515/cog-2015-0004	2015	Plausibitity rating	predictor	0	(1) completely plausible, (5) completely implausible	endpoints	5	means	NA
CogL 27-2_3	Cognitive Linguistics	https://doi.org/10.1515/cog-2015-0066	2016	Gesture rating	outcome	0	(1) not intense, (5) intense	endpoints	5	means	NA
CogL 29-4_2	Cognitive Linguistics	https://doi.org/10.1515/cog-2017-0043	2018	How well does a statement describe yourself	outcome	0	(1) not at all, (7) extremely	endpoints	7	means	NA
CogL 30-3_2	Cognitive Linguistics	https://doi.org/10.1515/cog-2017-0084	2019	Acceptability rating	outcome	0	(1) excellent, (2) acceptable, (3) impossible	each category	3	orm	quality
CogL 30-4_4	Cognitive Linguistics	https://doi.org/10.1515/cog-2018-0135	2019	Acceptability rating	outcome	0	1 to 5	NA	5	orm, means	NA
CogL 31-3_3	Cognitive Linguistics	https://doi.org/10.1515/cog-2018-0139	2020	Acceptability	outcome	0	(1) clearly incorrect, (4) clearly correct	endpoints	4	means	NA
CogL 31-3_4	Cognitive Linguistics	https://doi.org/10.1515/cog-2018-0086	2020	Acceptability rating	outcome	0	(1) not at all acceptable, (5) very acceptable	endpoints	5	orm	NA
CogL 31-4_3	Cognitive Linguistics	https://doi.org/10.1515/cog-2020-2040	2020	Acceptability rating	outcome	0	(1) unacceptable, (7) perfect	endpoints	7	orm, means	NA
CogL 32-2_4	Cognitive Linguistics	https://doi.org/10.1515/cog-2020-0050	2021	Acceptability rating	outcome	0	(1) completely unacceptable, (7) perfectly acceptable	endpoints	7	means	NA
CogL 32-3_1	Cognitive Linguistics	https://doi.org/10.1515/cog-2019-0100	2021	Acceptability rating	outcome	0	icons (smiley faces)	each category	5	means	NA
CogL 32-3_1	Cognitive Linguistics	https://doi.org/10.1515/cog-2019-0100	2021	Semantic affectedness	predictor	0	1 to 8	endpoints	8	means	NA
CogL 32-3_2	Cognitive Linguistics	https://doi.org/10.1515/cog-2020-0016	2021	Acceptability rating	outcome	0	1 to 7	NA	7	description_categorical	NA
Corpora 10-3_2	Corpora	https://doi.org/10.3366/cor.2015.0079	2015	Ratings of abstract according to different criteria	outcome	0	1 to 5	numbers	5	means	NA
Corpora 10-3_4	Corpora	https://doi.org/10.3366/cor.2015.0081	2015	Attribute rating	outcome	0	Likert-type	each category	5	description_categorical	agreement
Corpora 13-1_3	Corpora	https://doi.org/10.3366/cor.2018.0136	2018	Evaluation of texts along different functional text dimensions	outcome	0	(1) none or hardly at all, (2) slightly, (3) somewhat or partly, (4) strongly or very much so	each category	4	means	intensity
ELL 16-3_4	English Language and Linguistics	https://doi.org/10.1017/S1360674312000172	2012	Acceptability	outcome	0	1 to 10	numbers	10	means	NA
ELL 23-1_2	English Language and Linguistics	https://doi.org/10.1017/S1360674317000284	2019	Semantic transparency ratings	outcome	0	(1) highly opaque, (6) highly transparent	each category	6	means	NA
ELL 23-2_1	English Language and Linguistics	https://doi.org/10.1017/S1360674317000363	2019	Pronunciation rating	outcome	0	combination of two ratings: yes/no response and indication of certainty: very certain, reasonably certain, not certain at all	each category	6	means	probability
ELL 26-1_3	English Language and Linguistics	https://doi.org/10.1017/S1360674321000022	2022	Likelihood of variant	outcome	0	only stars	stars	5	orm, means	NA
ELL 26-1_7	English Language and Linguistics	https://doi.org/10.1017/S1360674321000162	2022	Acceptability rating	outcome	0	NA	NA	7	orm	NA
ELL 26-4_1	English Language and Linguistics	https://doi.org/10.1017/S1360674321000290	2022	Identity rating	predictor	0	Likert-type	each category	7	description_categorical	agreement
EWW 34-1_4	English World-Wide	https://doi.org/10.1075/eww.34.1.04van	2013	Pronunciation rating	outcome	0	(1) completely agree, (5) completely disagree	endpoints	5	means	NA
EWW 34-2_3	English World-Wide	https://doi.org/10.1075/eww.34.2.03tan	2013	Perception of intelligence rating	outcome	0	(1) least agreeable, (5) most agreeable	endpoints	5	means	NA
EWW 35-2_1	English World-Wide	https://doi.org/10.1075/eww.35.2.01bus	2014	Language attitide	outcome	0	Likert-type	each category	5	means	agreement
EWW 36-1_2	English World-Wide	https://doi.org/10.1075/eww.36.1.04sch	2015	Perception of speaker	outcome	0	Semantic differential scale	endpoints	6	means	NA
EWW 37-3_1	English World-Wide	https://doi.org/10.1075/eww.37.3.01chi	2016	Speaker ratings of frequency of usage of a from	outcome	0	(1) never, (2) very rarely, (3) rarely, (4) occasionally, (5) frequently, (6) very frequently	each category	6	binary_regression, means	frequency
EWW 38-3_1	English World-Wide	https://doi.org/10.1075/eww.38.3.01cow	2017	Task and task partner rating	predictor	1	NA	NA	6	means	NA
EWW 40-1_4	English World-Wide	https://doi.org/10.1075/eww.00023.sim	2019	Accentedness rating	outcome	0	(1) very slight, (11) very strong	endpoints	11	means	NA
EWW 41-1_1	English World-Wide	https://doi.org/10.1075/eww.00038.bru	2020	Imageability rating	outcome	0	1 to 5	numbers	5	means	NA
EWW 42-3_3	English World-Wide	https://doi.org/10.1075/eww.00072.car	2021	Acceptability rating	outcome	0	1 to 10	numbers	10	means	NA
EWW 43-2_1	English World-Wide	https://doi.org/10.1075/eww.20010.sha	2022	Prestige and pleasantness rating	outcome	0	(1) very low, (7) very high	endpoints	7	means	NA
IJLCR 7-1_5	International Journal of Learner Corpus Research	https://doi.org/10.1075/ijlcr.20004.jar	2021	Rating of the lexical diversity of texts	outcome	0	1 to 10; 5 serves as anchor, based on example text	midpoint	10	means	NA
JoS 17-2_3	Journal of Sociolinguistics	https://doi.org/10.1111/josl.12025	2013	Perception of speaker	stimulus validation	0	1 to 5	numbers	5	means	NA
JoS 17-2_3	Journal of Sociolinguistics	https://doi.org/10.1111/josl.12025	2013	Voice rating on social dimensions	stimulus validation	0	1 to 6	numbers	6	means	NA
JoS 17-2_3	Journal of Sociolinguistics	https://doi.org/10.1111/josl.12025	2013	Speaker perception	stimulus validation	0	(1) perfectly acceptable, (7) completely unacceptable	endpoints	7	means	NA
JoS 18-3_1	Journal of Sociolinguistics	https://doi.org/10.1111/josl.12084	2014	Speaker perception	outcome	0	Likert-type	each category	4	means	agreement
JoS 18-3_1	Journal of Sociolinguistics	https://doi.org/10.1111/josl.12084	2014	Speaker perception	outcome	0	(1) poor, (10) excellent	endpoints	10	means	NA
JoS 18-5_3	Journal of Sociolinguistics	https://doi.org/10.1111/josl.12094	2014	Frequency of language use	outcome	0	(1) always, (2) often, (3) sometimes, (4) rarely, (5) never	each category	5	description_categorical	frequency
JoS 18-5_3	Journal of Sociolinguistics	https://doi.org/10.1111/josl.12094	2014	Speaker perception	outcome	0	(1) very female, (7) very male	endpoints	7	means	NA
JoS 20-3_2	Journal of Sociolinguistics	https://doi.org/10.1111/josl.12183	2016	Attitude towards language revitalization	outcome	0	Likert-type	each category	5	description_categorical	agreement
JoS 21-2_1	Journal of Sociolinguistics	https://doi.org/10.1111/josl.12230	2017	Social perception	outcome	0	1 to 6	numbers	6	means	NA
JoS 23-1_1	Journal of Sociolinguistics	https://doi.org/10.1111/josl.12307	2019	Perception of speaker	outcome	0	Semantic differential scale	endpoints	7	means	NA
JoS 23-4_1	Journal of Sociolinguistics	https://doi.org/10.1111/josl.12368	2019	Perception of speaker	outcome	0	Semantic differential scale	endpoints	7	means	NA
JoS 24-1_1	Journal of Sociolinguistics	https://doi.org/10.1111/josl.12375	2020	Self-reported proficiency	predictor	0	(1) no competence, (5) total fluency	endpoints	5	means	NA
JoS 25-4_1	Journal of Sociolinguistics	https://doi.org/10.1111/josl.12477	2021	Perception of speaker	outcome	0	various attributes; e.g. (1) new, (7) traditional	endpoints	7	means	NA
JoS 26-2_1	Journal of Sociolinguistics	https://doi.org/10.1111/josl.12538	2022	Accent rating	outcome	0	Likert-type	each category	6	means	agreement
L 88-1_2	Language	https://doi.org/10.1353/lan.2012.0000	2012	Acceptability rating	outcome	0	icons (smiley faces)	each category	5	means	NA
L 88-1_3	Language	https://doi.org/10.1353/lan.2012.0004	2012	Acceptability rating	outcome	0	(1) least acceptable, (4) most acceptable	endpoints	7	means	NA
L 88-1_4	Language	https://doi.org/10.1353/lan.2012.0008	2012	Certainty rating	outcome	0	(1) not at all confident, (4) completely confident	endpoints	4	means	NA
L 88-2_1	Language	https://doi.org/10.1353/lan.2012.0049	2012	preference rating for pronunciation variant	outcome	0	1 to 7	endpoints	7	means	NA
L 91-1_3	Language	https://doi.org/10.1353/lan.2015.0012	2015	Acceptability rating	outcome	0	(1) totally acceptable, (7) totally unacceptable	endpoints	7	orm	NA
L 91-3_3	Language	https://doi.org/10.1353/lan.2015.0035	2015	Acceptability rating	outcome	0	(1) completely unacceptable, (4) perfectly acceptable	endpoints	4	means	NA
L 91-3_3	Language	https://doi.org/10.1353/lan.2015.0035	2015	Self-rated language proficiency	sample description	0	1 to 5	numbers	5	means	NA
L 92-2_7	Language	https://doi.org/10.1353/lan.2016.0031	2016	Frequency rating	predictor	0	(1) unknown, (2) very infrequent, (3) infrequent, (4) frequent, (5) highly frequent	each category	5	means	frequency
L 92-3_5	Language	https://doi.org/10.1353/lan.2016.0052	2016	Naturalness rating	outcome	0	NA	endpoints	7	means	frequency
L 93-1_3	Language	https://doi.org/10.1353/lan.2017.0003	2017	Acceptability rating	outcome	0	(1) bad, (7) good	endpoints	7	means	NA
L 94-3_5	Language	https://doi.org/10.1353/lan.2018.0038	2018	Perception of speaker	outcome	0	(1) educated, (5) uneducated	endpoints	5	means	NA
L 95-1_5	Language	https://doi.org/10.1353/lan.2019.0016	2019	Acceptability rating	outcome	0	(1) unacceptable, (7) fully acceptable	endpoints	7	means	NA
L 95-3_1	Language	https://doi.org/10.1353/lan.2019.0051	2019	Acceptability rating	outcome	0	(1) bad, (7) good	endpoints	7	means	NA
L 95-3_2	Language	https://doi.org/10.1353/lan.2019.0052	2019	Acceptability rating	outcome	0	(1) I would never say that/you would never hear that here/it's very unnatural/it's bad (2) I probably wouldn't say that/you probably wouldn't hear that here/it's unnatural/it's weird (3) I might say that/you woudn't hear that a lot here/it's not very natural/it's a bit weird (4) I would probably say that/you would hear that occasionally here/it's quite natural/it's OKish (5) I would definitely say that/you would hear that a lot here/it's very natural/it's fine	each category	5	description_categorical	probability
L 96-3_2	Language	https://doi.org/10.1353/lan.2020.0040	2020	Naturalness rating	outcome	0	(1) less natural, (5) more natural	endpoints	5	orm, means	NA
L 98-1_6	Language	https://doi.org/10.1353/lan.2021.0088	2022	Acceptability rating	outcome	0	NA	NA	7	means	NA
L 98-3_5	Language	https://doi.org/10.1353/lan.0.0271	2022	Truth judgment	outcome	0	(1) definitely true, (5) definitely not true	endpoints	5	means	NA
L 98-3_5	Language	https://doi.org/10.1353/lan.0.0271	2022	Certainty rating	outcome	0	(1) certain that true, (4) not certain whether true/false, (7) certain that false	endpoints and midpoint	7	means	NA
LI 45-4_6	Linguistic Inquiry	https://doi.org/10.1162/ling_a_00171	2014	Acceptability rating	outcome	0	(1) sounds awful, (5) sounds perfect	endpoints	5	means	NA
LI 47-2_7	Linguistic Inquiry	https://doi.org/10.1162/ling_a_00215	2016	Acceptability rating	outcome	0	1 to 7	endpoints	7	means	NA
LI 48-2_2	Linguistic Inquiry	https://doi.org/10.1162/ling_a_00243	2017	Naturalness rating	outcome	0	1 to 7	NA	7	means	NA
LI 49-4_8	Linguistic Inquiry	https://doi.org/10.1162/ling_a_00293	2018	Acceptability rating	outcome	0	1 to 7	NA	7	means	NA
LI 51-1_7	Linguistic Inquiry	https://doi.org/10.1162/ling_a_00333	2020	Naturalness rating	outcome	0	(1) perfectly natural, (5) only slightly unnatural	each category	5	description_categorical	intensity
LI 51-3_2	Linguistic Inquiry	https://doi.org/10.1162/ling_a_00352	2020	Acceptability rating	outcome	0	1 to 7	NA	7	means	NA
LI 51-3_7	Linguistic Inquiry	https://doi.org/10.1162/ling_a_00343	2020	Acceptability rating	outcome	0	(1) unnatural, (7) perfectly natural	endpoints	7	orm	NA
LI 52-2_8	Linguistic Inquiry	https://doi.org/10.1162/ling_a_00382	2021	Naturalness rating	outcome	0	(1) not at all natural, (4) somewhat natural, (7) very natural	endpoints and midpoint	7	means	NA
LI 53-2_6	Linguistic Inquiry	https://doi.org/10.1162/ling_a_00403	2022	Acceptability rating	outcome	0	NA	NA	4	means	NA
LI 53-3_1	Linguistic Inquiry	https://doi.org/10.1162/ling_a_00414	2022	Naturalness rating	outcome	0	1 to 7	NA	7	orm	NA
LI 53-3_4	Linguistic Inquiry	https://doi.org/10.1162/ling_a_00413	2022	Naturalness rating	outcome	0	(1) not natural at all, (7) perfectly natural	endpoints	7	orm, means	NA
LI 53-3_8	Linguistic Inquiry	https://doi.org/10.1162/ling_a_00412	2022	Acceptability rating	outcome	0	1 to 5	NA	5	nonparametric, means	NA
Ling 51-5_3	Linguistics	https://doi.org/10.1515/ling-2013-0033	2013	Self-rated proficiency	sample description	0	(1) rudimentary, (5) excellent; (1) seldom, (5) very often	endpoints	5	means	NA
Ling 51-6_6	Linguistics	https://doi.org/10.1515/ling-2013-0050	2013	Naturalness rating	outcome	0	(1) very unnatural, (2) somewhat unnatural, (3) neither natural nor unnatural, (4) somewhat natural, (5) very natural	each category	5	means	intensity
Ling 52-1_2	Linguistics	https://doi.org/10.1515/ling-2013-0056	2014	Similarity rating	outcome	0	(1) very different, (5) very similar	endpoints	5	means	NA
Ling 53-2_1	Linguistics	https://doi.org/10.1515/ling-2015-0003	2015	Perception of speaker	outcome	0	(1) ugly, (5) beautiful	endpoints	5	means	NA
Ling 54-6_3	Linguistics	https://doi.org/10.1515/ling-2016-0033	2016	Acceptability rating	outcome	0	(1) certainly incorrect, (2) possibly incorrect, (3) possibly correct, (4) certainly correct	each category	4	means	probability
Ling 55-4_3	Linguistics	https://doi.org/10.1515/ling-2017-0011	2017	Perception of speaker	outcome	0	(1) calm, (5) excited	endpoints	5	means	NA
Ling 55-5_5	Linguistics	https://doi.org/10.1515/ling-2017-0021	2017	Gender rating	outcome	0	(1) very likely to be spoken by men, (2) somewhat likely to be spoken by men, (3) equally likely to be spoken by men and women, (4) somewhat likely to be spoken by women, (5)  very likely to be spoken by women	each category	5	means	intensity
Ling 55-5_6	Linguistics	https://doi.org/10.1515/ling-2017-0022	2017	Gender perception	outcome	0	e.g. (1) very intelligent, (6) not at all intelligent	endpoints	6	means	NA
Ling 55-5_7	Linguistics	https://doi.org/10.1515/ling-2017-0023	2017	Perception of speaker	outcome	0	(1) no, not at all, (5) yes, very much	endpoints	5	orm, means	NA
Ling 56-3_5	Linguistics	https://doi.org/10.1515/ling-2018-0006	2018	Foreign accent rating	outcome	0	(1) No foreign accent at all, (7) Very strong foreign accent	endpoints	7	means	NA
Ling 57-2_3	Linguistics	https://doi.org/10.1515/ling-2019-0004	2019	Acceptability rating	outcome	0	(1) ungrammatical sentence, (2) odd but still grammatical, (3) grammatical sentence	each category	3	NA	NA
Ling 57-3_1	Linguistics	https://doi.org/10.1515/ling-2019-0013	2019	Imageability rating	stimulus validation	0	1 to 6	NA	5	means	NA
Ling 57-3_5	Linguistics	https://doi.org/10.1515/ling-2019-0010	2019	Acceptability rating	outcome	0	1 to 5	NA	5	means	NA
Ling 57-5_6	Linguistics	https://doi.org/10.1515/ling-2019-0019	2019	Preference for variant	outcome	0	(1) variant A, (2) both, (3) variant B	each category	3	means	NA
Ling 57-6_4	Linguistics	https://doi.org/10.1515/ling-2019-0031	2019	Acceptability rating	outcome	0	1 to 5	NA	5	means	NA
Ling 58-1_2	Linguistics	https://doi.org/10.1515/ling-2018-0036	2020	Familiarity rating	outcome	0	1 to 7	NA	7	means	NA
Ling 59-1_4	Linguistics	https://doi.org/10.1515/ling-2020-0263	2021	Accentedness rating	outcome	0	(1) very strong accent: definitely non-native, (5) no foreigen accent at all: definitely native	endpoints	5	means	NA
Ling 59-2_2	Linguistics	https://doi.org/10.1515/ling-2021-0007	2021	Acceptability rating	outcome	0	NA	NA	7	means	NA
Ling 59-2_5	Linguistics	https://doi.org/10.1515/ling-2021-0019	2021	Likelihood of event denoted in the sentence	stimulus validation	0	(1) very unlikely, (7) very likely	endpoints	7	description_categorical	NA
Ling 59-3_3	Linguistics	https://doi.org/10.1515/ling-2021-0057	2021	Familiarity rating	predictor	0	(1) never touched it, (4) so so, (7) Pokemon is my life	endpoints and midpoint	7	description_categorical	NA
Ling 60-2_3	Linguistics	https://doi.org/10.1515/ling-2020-0110	2022	Acceptability rating	outcome	0	(1) totally unacceptable, (7) totally acceptable	endpoints	7	means	NA
Ling 60-4_2	Linguistics	https://doi.org/10.1515/ling-2020-0237	2022	Perception of loanword status	outcome	0	(1) feels like a purely English word, (5) feels like a purely Dutch word	endpoints	5	means	NA
Ling 60-5_5	Linguistics	https://doi.org/10.1515/ling-2020-0248	2022	Acceptability rating	outcome	0	1 to 6	NA	6	means	NA
Ling 60-6_3	Linguistics	https://doi.org/10.1515/ling-2020-0276	2022	Acceptability rating	outcome	0	icons (smiley faces)	each category	7	orm	NA
LL 62-2_3	Language Learning	https://doi.org/10.1111/j.1467-9922.2011.00629.x	2012	Pragmatic judgment task	outcome	0	(1) pragmatically appropriate and grammatically accurate, (2) pragmatically inappropriate and grammatically accurate, (3) pragmatically appropriate and grammatically inaccurate	each category	3	nonparametric, means	NA
LL 62-2_8	Language Learning	https://doi.org/10.1111/j.1467-9922.2011.00632.x	2012	Student motivation	correlational variable	0	Likert-type	each category	6	means	agreement
LL 62-2_8	Language Learning	https://doi.org/10.1111/j.1467-9922.2011.00632.x	2012	Teacher motivation rating; Student motivation	correlational variable	0	Semantic differential scale; (1) not at all, (6) very much	endpoints	6	means	NA
LL 62-2_9	Language Learning	https://doi.org/10.1111/j.1467-9922.2011.00639.x	2012	Intelligibility rating	correlational variable	0	(1) very good English /r/, (9) very poor English /r/	endpoints	9	means	NA
LL 62-3_5	Language Learning	https://doi.org/10.1111/j.1467-9922.2011.00650.x	2012	Quality of student writing	outcome	0	0 to 10	numbers	11	means	NA
LL 62-4_1	Language Learning	https://doi.org/10.1111/j.1467-9922.2012.00719.x	2012	Motivation	correlational variable	0	Likert-type	each category	6	means	agreement
LL 62-4_1	Language Learning	https://doi.org/10.1111/j.1467-9922.2012.00719.x	2012	Motivation	correlational variable	0	(1) definitely not, (6) definitely yes	NA	6	means	NA
LL 62-4_8	Language Learning	https://doi.org/10.1111/j.1467-9922.2012.00723.x	2012	Potential to cause concern	correlational variable	0	(1) absence of conflict or problems, (5) major source of conflict or problems	endpoints	5	means	NA
LL 62-4_8	Language Learning	https://doi.org/10.1111/j.1467-9922.2012.00723.x	2012	Identification with language community; Attribute rating	correlational variable	0	(1) not at all like a Francophone, (7) very much like a Francophone; Semantic differential scale	endpoints	7	means	NA
LL 63-1_4	Language Learning	https://doi.org/10.1111/j.1467-9922.2012.00717.x	2013	Motivation	outcome	0	NA	endpoints	7	means	NA
LL 63-2_1	Language Learning	https://doi.org/10.1111/lang.12000	2013	Fluency rating	outcome	0	(1) easy to understand, (9) extremely difficult to understand	endpoints	9	means	NA
LL 63-2_5	Language Learning	https://doi.org/10.1111/lang.12009	2013	Self-construal, ideal self	correlational variable	0	Likert-type	each category	6	means	agreement
LL 63-3_3	Language Learning	https://doi.org/10.1111/lang.12005	2013	Motivation	correlational variable	1	Likert-type	each category	5	means	agreement
LL 63-4_5	Language Learning	https://doi.org/10.1111/lang.12026	2013	Self-rated proficiency	sample description	0	1 to 5	NA	5	means	NA
LL 63-4_8	Language Learning	https://doi.org/10.1111/lang.12025	2013	Anxiety	predictor	1	Likert-type	each category	5	means	agreement
LL 64-1_1	Language Learning	https://doi.org/10.1111/lang.12033	2014	Difficulty of topic	sample description	0	NA	NA	5	means	NA
LL 64-1_2	Language Learning	https://doi.org/10.1111/lang.12031	2014	Personality measure	correlational variable	1	Likert-type	each category	5	means	agreement
LL 64-2_6	Language Learning	https://doi.org/10.1111/lang.12052	2014	Use of learning strategies	predictor	1	Likert-type	each category	5	means	agreement
LL 64-3_3	Language Learning	https://doi.org/10.1111/lang.12065	2014	Motivation	correlational variable	1	Likert-type	each category	5	means	agreement
LL 64-3_4	Language Learning	https://doi.org/10.1111/lang.12053	2014	Accentedness, comprehensibility fluency ratings	outcome	0	(1) extremely fluent, (9) extremely disfluent	endpoints	9	means	NA
LL 64-3_5	Language Learning	https://doi.org/10.1111/lang.12054	2014	Language awareness rating	outcome	0	(1) yes, (2) some, (3) no	each category	3	description_categorical	NA
LL 64-3_7	Language Learning	https://doi.org/10.1111/lang.12061	2014	Task complexity	sample description	0	1 to 5	numbers	5	means	NA
LL 64-3_9	Language Learning	https://doi.org/10.1111/lang.12066	2014	Sentence complexity	outcome	0	(1) easy to understand, (7) hard to understand	endpoints	7	means	NA
LL 64-4_1	Language Learning	https://doi.org/10.1111/lang.12082	2014	Accentedness, comprehensibility fluency ratings	outcome	0	(1) extremely fluent, (9) extremely disfluent	endpoints	9	means	NA
LL 65-2_6	Language Learning	https://doi.org/10.1111/lang.12105	2015	Metacognition	correlational variable	1	Likert-type	each category	6	means	agreement
LL 65-3_1	Language Learning	https://doi.org/10.1111/lang.12126	2015	Accentedness rating	outcome	0	(1) very strong foreign accent, (9) no foreigen accent	endpoints	9	means	NA
LL 65-3_3	Language Learning	https://doi.org/10.1111/lang.12125	2015	Self-rated proficiency	predictor	0	(1) very poor, (2) weak, (3) ok, (4) good, (5) excellent	each category	5	means	quality
LL 65-3_3	Language Learning	https://doi.org/10.1111/lang.12125	2015	frequency rating	outcome	0	(1) very uncommon, (6) very common	endpoints	6	means	NA
LL 65-3_7	Language Learning	https://doi.org/10.1111/lang.12123	2015	Iconicity rating	stimulus validation	0	(1) highly arbitrary, (7) highly iconic	endpoints	7	means	NA
LL 66-1_3	Language Learning	https://doi.org/10.1111/lang.12149	2016	Acceptability rating	outcome	0	(1) completely acceptable, (5) completely unacceptable	endpoints	5	means	NA
LL 66-1_4	Language Learning	https://doi.org/10.1111/lang.12140	2016	Motivation	correlational variable	0	Likert-type	each category	6	means	agreement
LL 66-2_5	Language Learning	https://doi.org/10.1111/lang.12162	2016	Contact quality	correlational variable	0	(1) low, (2) medium, (3) high	each category	3	means	NA
LL 66-2_6	Language Learning	https://doi.org/10.1111/lang.12157	2016	Self-rated proficiency	sample description	0	(1) beginner, (2) intermediate, (3) advanced, (4) near-native	each category	4	means	NA
LL 66-2_6	Language Learning	https://doi.org/10.1111/lang.12157	2016	Evaluation of learner productions	outcome	0	0 to 6; defined categories	each category	7	means	NA
